X;Y;id;title;Organization;Address;overview;WebPage;TitleEN;NUMBER1;AddressEN;DescriptionEN;WebPageEN;Column1;Score
501425.9013;6140233.923;1;Kalnaberÿ”s piliakalnis;[];Kalnaberÿ” K”daini÷ r.;Piliakalnis datuojamas I t◊kst. pab. - II t◊kst. pradÿia.;;Kalnaberÿ” Hill Fort;10;Kalnaberÿ” K”dainiai District;Beginning of the second millennium.;;;2
498383.1869;6137369.803;2;Vaidatoni÷ piliakalnis;[];Kruosto ir jo intako Vi’kau—io kairiuosiuose krantuose esan—iame auk’tumos ky’ulyje.;Datuojamas I t◊kst. pab. - II t◊kst. pr.;;Vaidatoniai Hill Fort;10;;;;;4
503154.9568;6142838.752;3;æventybras—io –ÿuolai;[];æventybrastis ’laite tarp Brastos upelio ir kapini÷;Kalbama kad ten kur dabar stovi æventybras—io baÿny—ia buvusi senov”s lietuvi÷ pagoni’k÷ apeig÷ vieta apaugusi –ÿuolais. æiandien tei’lik“ keturi. Medÿi÷ auk’tis ?21-24 m skersmenys ? 12 ?18 m. Tai respublikin”s reik’m”s;;ævantybrastis' oaks;9;æventybrastis village K”dainiai District;It is believed that on the site of the church there had been a heathen shrine with oaks four of which have survived. Their height is 21-24 m diameter - 1.2 ?1.8 m. The oaks are listed as natural heritage of national value.;;;5
503161.5714;6142926.064;4;æventybras—io Kristaus Atsimainymo baÿny—ia;[];æventybrastis Baÿny—ios g.;1774 m. æventybras—io savininkas grafas Zavi’a pastatydino medin“ J”zaus atsimainymo baÿny—i–. 1873 m. prie baÿny—ios pastatyta medin” varpin”.  1880 m. prie abiej÷ ’on÷ prim◊ryti priestatai.;;æventybrastis Church of Christ Conversion;1;Baÿny—ios g. æventybrastis K”dainiai District;"This wooden church was built by the owner of æventybrastis Count Zavi’a in 1774. In 1873 a wooden belfry was constructed next to it. Czeslaw Milosz Noble Prize winner was baptized at this church; his ancestors were buried in æventybrastis.";;;3
501366.3699;6132984.987;5;Apytalaukio dvaro sodyba;[];Alkupio g. Apytalaukis K”daini÷ r.;Minimas XV a. Dvar– vald” æiuk’tos Karpiai Ti’kevi—iai Zabielos. R◊mai statyti XIX amÿiaus vid. tod”l turi neorenesansinio stiliaus element÷. XIX a. II p. aplink dvar– uÿveistas mi’raus tipo parkas  ‘ pietry—ius nuo r◊m÷ ? tvenkin;;Former Apytalaukis manor estate;1;Apytalaukis K”dainiai District;The estate was first mentioned in the 15th century. The manor was built in the 19th century with neo-renaissance elements. A park and ponds were set up around the manor in the 19th century.;;;5
497773.3211;6152094.557;6;æv—. Mergel”s Marijos Apsilankymo baÿny—ia;[];Paberÿ” K”daini÷ r.;Pastatyta 1858 m.  1966 m. ‘ Paberÿ“ buvo paskirtas vienuolis kapucinas T”vas Stanislovas. ∂ia galima i’vysti gausyb“ T”vo Stanislovo surinkt÷  liturgini÷ atribut÷: saulu—i÷ ÿibint÷ maldaknygi÷ r◊b÷. Baÿny—ioje gausu sakralinio meno;;Church of Visitation of the Blessed Virgin Mary;1;Paberÿ” K”dainiai District;Built in 1858 by local craftsmen.  The church and rectory store a large collection of valuable liturgical art items and crosses by the most famous Lithuanian wood-carver Vincas Svirskis. To visit contact by phone No +370 618 31593;;;4
497913.5505;6152269.182;7;1863 m. sukilimo muziejus;[];Paberÿ” K”daini÷ r.;Vienintelis Lietuvoje 1863 m. sukilimo muziejus. 2011 m. rekonstruotas. Ωtaigios patrauklios ekspozicijos pasakoja apie sukilim–: jo prie’istor“ eig– numal’inim–. Ωkurtas XVIII a. dvare.;;Museum of 1863 Uprising;8;Paberÿ” K”dainiai District;The only museum in Lithuania dedicated to the 1863 uprising. The display tells about the course of the uprising and its cruel suppreseion. It was modernized visitors can also see a collection of restored kerosene lamps consisting of 65 unique items.;http://www.kedainiumuziejus.lt;;4
342403.7414;6200240.467;8;Kartenos piliakalnis;[];Kartenos sen. Kretingos r.;Legenda byloja kad ant kalno prie Kartenos didel” pilis stov”jusi kuri– vald” ÿemai—i÷ karalius. Netoli piliakalnio yra Kartenos akmuo su ˜karv”s p”daÚ vadinamas Laum”s akmeniu.;http://www.kartena.lt/apie-mus/gamta-ir-vietovs.html;;10;;;;;1
351155.4966;6215606.59;9;Orvid÷ sodyba-muziejus;[];Gargÿdel”s k. Imbar”s sen. Kretingos r.;Muziej÷ ‘k◊r” Vilius Kazimieras Orvidas daugel‘ met÷ i’ Salant÷ apylinki÷ kartu su s◊numis ‘ savo sodyb– veÿ“s ‘domesni÷ form÷ akmenis medÿius ir k◊r“s i’ j÷ paminklus bei ‘vairias skulpt◊ras. Visa sodyba i’ pauk’—io skrydÿ;http://www.muziejai.lt/kretinga/orvydu_muziejus.htm;;8;;;;;3
348615.4915;6216533.956;10;æv—.Mergel”s Marijos ∏mimo ‘ dang÷ baÿny—i;[];Dariaus ir Gir”no g. 10 Salantai Kretingos r.;Baÿny—ia istoricizmo laikotarpio puo’niai dekoruota lotyni’ko kryÿiaus plano interjer– puo’ia neogotikinio stiliaus suolai klausyklos ir penki  mediniai altoriai.;http://www.kretingosenciklopedija.lt/lt/straipsniai/religija/baznycios/salantu_svc_mergeles_marijos_emimo_i_dangu_baznycia/;;1;;;;;1
