X,Y,id,title,Organization,InsertDate,UpdateDate,Address,overview,WebPage,TitleEN,NUMBER1,AddressEN,DescriptionEN,WebPageEN,,Score
501425.9013,6140233.923,1,Kalnaberžės piliakalnis,[],7/4/2013,6/11/2014,Kalnaberžė Kėdainių r.,Piliakalnis datuojamas I tūkst. pab. - II tūkst. pradžia.,,Kalnaberžė Hill Fort,10,Kalnaberžė Kėdainiai District,Beginning of the second millennium.,,,2
498383.1869,6137369.803,2,Vaidatonių piliakalnis,[],7/4/2013,6/11/2014,Kruosto ir jo intako Viškaučio kairiuosiuose krantuose esančiame aukštumos kyšulyje.,Datuojamas I tūkst. pab. - II tūkst. pr.,,Vaidatoniai Hill Fort,10,,,,,4
503154.9568,6142838.752,3,Šventybrasčio ąžuolai,[],7/4/2013,7/21/2014,Šventybrastis šlaite tarp Brastos upelio ir kapinių,Kalbama kad ten kur dabar stovi Šventybrasčio bažnyčia buvusi senovės lietuvių pagoniškų apeigų vieta apaugusi ąžuolais. Šiandien teišlikę keturi. Medžių aukštis –21-24 m skersmenys – 12 –18 m. Tai respublikinės reikšmės,,Švantybrastis' oaks,9,Šventybrastis village Kėdainiai District,It is believed that on the site of the church there had been a heathen shrine with oaks four of which have survived. Their height is 21-24 m diameter - 1.2 –1.8 m. The oaks are listed as natural heritage of national value.,,,5
503161.5714,6142926.064,4,Šventybrasčio Kristaus Atsimainymo bažnyčia,[],7/4/2013,7/1/2014,Šventybrastis Bažnyčios g.,1774 m. Šventybrasčio savininkas grafas Zaviša pastatydino medinę Jėzaus atsimainymo bažnyčią. 1873 m. prie bažnyčios pastatyta medinė varpinė.  1880 m. prie abiejų šonų primūryti priestatai.,,Šventybrastis Church of Christ Conversion,1,Bažnyčios g. Šventybrastis Kėdainiai District,This wooden church was built by the owner of Šventybrastis Count Zaviša in 1774. In 1873 a wooden belfry was constructed next to it. Czeslaw Milosz Noble Prize winner was baptized at this church; his ancestors were buried in Šventybrastis.,,,3
501366.3699,6132984.987,5,Apytalaukio dvaro sodyba,[],7/4/2013,7/10/2014,Alkupio g. Apytalaukis Kėdainių r.,Minimas XV a. Dvarą valdė Šiukštos Karpiai Tiškevičiai Zabielos. Rūmai statyti XIX amžiaus vid. todėl turi neorenesansinio stiliaus elementų. XIX a. II p. aplink dvarą užveistas mišraus tipo parkas  į pietryčius nuo rūmų – tvenkin,,Former Apytalaukis manor estate,1,Apytalaukis Kėdainiai District,The estate was first mentioned in the 15th century. The manor was built in the 19th century with neo-renaissance elements. A park and ponds were set up around the manor in the 19th century.,,,5
497773.3211,6152094.557,6,Švč. Mergelės Marijos Apsilankymo bažnyčia,[],7/4/2013,7/1/2014,Paberžė Kėdainių r.,Pastatyta 1858 m.  1966 m. į Paberžę buvo paskirtas vienuolis kapucinas Tėvas Stanislovas. Čia galima išvysti gausybę Tėvo Stanislovo surinktų  liturginių atributų: saulučių žibintų maldaknygių rūbų. Bažnyčioje gausu sakralinio meno,,Church of Visitation of the Blessed Virgin Mary,1,Paberžė Kėdainiai District,Built in 1858 by local craftsmen.  The church and rectory store a large collection of valuable liturgical art items and crosses by the most famous Lithuanian wood-carver Vincas Svirskis. To visit contact by phone No +370 618 31593,,,4
497913.5505,6152269.182,7,1863 m. sukilimo muziejus,[],7/4/2013,6/5/2014,Paberžė Kėdainių r.,Vienintelis Lietuvoje 1863 m. sukilimo muziejus. 2011 m. rekonstruotas. Įtaigios patrauklios ekspozicijos pasakoja apie sukilimą: jo priešistorę eigą numalšinimą. Įkurtas XVIII a. dvare.,,Museum of 1863 Uprising,8,Paberžė Kėdainiai District,The only museum in Lithuania dedicated to the 1863 uprising. The display tells about the course of the uprising and its cruel suppreseion. It was modernized visitors can also see a collection of restored kerosene lamps consisting of 65 unique items.,http://www.kedainiumuziejus.lt,,4
342403.7414,6200240.467,8,Kartenos piliakalnis,[],7/4/2013,7/19/2013,Kartenos sen. Kretingos r.,Legenda byloja kad ant kalno prie Kartenos didelė pilis stovėjusi kurią valdė žemaičių karalius. Netoli piliakalnio yra Kartenos akmuo su „karvės pėda“ vadinamas Laumės akmeniu.,http://www.kartena.lt/apie-mus/gamta-ir-vietovs.html,,10,,,,,1
351155.4966,6215606.59,9,Orvidų sodyba-muziejus,[],7/4/2013,7/19/2013,Gargždelės k. Imbarės sen. Kretingos r.,Muziejų įkūrė Vilius Kazimieras Orvidas daugelį metų iš Salantų apylinkių kartu su sūnumis į savo sodybą vežęs įdomesnių formų akmenis medžius ir kūręs iš jų paminklus bei įvairias skulptūras. Visa sodyba iš paukščio skrydž,http://www.muziejai.lt/kretinga/orvydu_muziejus.htm,,8,,,,,3
348615.4915,6216533.956,10,Švč.Mergelės Marijos Ėmimo į dangų bažnyči,[],7/4/2013,8/9/2013,Dariaus ir Girėno g. 10 Salantai Kretingos r.,Bažnyčia istoricizmo laikotarpio puošniai dekoruota lotyniško kryžiaus plano interjerą puošia neogotikinio stiliaus suolai klausyklos ir penki  mediniai altoriai.,http://www.kretingosenciklopedija.lt/lt/straipsniai/religija/baznycios/salantu_svc_mergeles_marijos_emimo_i_dangu_baznycia/,,1,,,,,1
